INGREDIENTE,Kcal c/100gr,Proteína.100,Grasa.100,HC.100,Fibra.100,Azúcar.100,Calcio.100,Hierro.100,Magnesio.100,Fósforo. 100,Potasio.100,Sodio.100,Zinc.100,Cobre.100,Manganeso.100,C.100,Tiamina B1.100,Riboflavina. 100,Niacina B3.100,Ac. pantotenico B5.100,B-6. 100,Folato Gpo B. 100,Colina,B-12. 100,A. 100,E.100,D (D2 + D3),D,K (Polifenoles). 100,G. Saturada. 100,Monoinsaturadas. 100,Poliinsaturada.100,Trans.100,Colesterol.100,Ergoesterol,Cafeína. 100,Lisina,Metionina,Cisteína,Met+Cys,Tirosina,Betacaroteno
Zinc,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fósforo,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcio,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesio,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potasio,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagazo de cebada,,30,8,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagazo de caña,,4.96,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de arroz,316.23,3.56,,40,39,,0.3639,,140.3,,913,577.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borra de café,,11.71,13.41,,,,170,7.5419,1.4,1.3,3.4,0.4,9.609,0.8879,4.3266,,,,,,,,,,,,,,,,,,,,,584,,,,,,
Pulpa de remolacha azucarera,,16.8,3,40,16,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina de alfalfa,,18.4,1.39,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta de cártamo,119,21,1.4,,30,4.1,340,,,300,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,720,340,,,,
Pasta de girasol,,34.2,1.7,,,4,320,22.1,570,1080,1550,30,9.7,3.4,3.3,,,,,,,,275,,,5.2,,,,,,,,,,,,,,,,
Cascarilla de café,,5.1,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de algodón,,6.1,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de arroz,,2.6,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de soya entera,,11.8,,,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de soya molida y cocida,,11.8,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hojas de remolacha (hojas o tallos de algo mas),22,2.2,0.13,4.33,3.7,0.5,117,2.57,70,41,762,226,0.38,0.191,0.391,30,0.1,0.22,0.4,0.25,0.106,15,0.4,0,6330,1.5,0,0,400,0.02,0.026,0.046,0,0,,0,,,,,,
Cáscara de papa,58,2.57,0.1,12.4,2.5,,30,3.24,23,38,413,10,0.35,0.423,0.602,11.4,0.021,0.038,1.03,0.302,0.239,17,0,0,0,0,0,0,0,0.026,0.002,0.043,0,0,,,,,,,,
Pulpa de frutas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cáscara de platano,,0.9,1.7,59,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina de nopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina de cáscaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya en semilla,446,36.5,19.9,30.2,9.3,7.33,277,15.7,280,704,1800,2,4.89,1.66,2.52,6,0.874,0.87,1.62,0.793,0.377,375,116,0,22,0.85,0,0,47,2.88,4.4,11.3,0,0,0,0,2.71,0.547,0.655,,1.54,13
Cacahuate valencia,570,25.1,47.6,20.9,8.7,,62,2.09,184,336,332,1,3.34,1.17,1.98,0,0.639,0.3,12.9,1.81,0.34,246,,0,0,,0,0,0,7.33,21.4,16.5,0,0,0,,0.901,0.308,0.322,,1.02,
Zanahoria,41,0.93,0.24,9.58,2.8,4.74,33,0.3,12,35,320,69,0.24,0.045,0.143,5.9,0.066,0.058,0.983,0.273,0.138,19,8.8,0,835,0.66,0,0,13.2,0.032,0.012,0.102,0,0,0,0,0.101,0.02,0.083,,0.043,8.28
Brócoli,34,2.82,0.37,6.64,2.6,1.7,47,0.73,21,66,316,33,0.41,0.049,0.21,89.2,0.071,0.117,0.639,0.573,0.176,63,18.7,0,623,0,0,0,102,0.114,0.031,0.112,0,0,0,0,0.135,0.038,0.028,,0.05,361
Quinoa roja,120,4.4,1.92,21.3,2.8,0.87,17,1.49,64,152,172,7,1.09,0.192,0.631,0,0.107,0.11,0.412,,0.123,42,23,0,5,0.63,0,0,0,0.231,0.528,1.08,,0,0,0,0.239,0.096,0.063,,0.083,3
Centeno,349,10.9,1.52,75.4,11.8,1.1,24,2.54,63,225,374,2,2.17,0.331,2.41,0,0.287,0.114,1.73,0.492,0.268,34,20.6,0,0,1.43,0,0,5.9,0.18,0.189,0.695,0,0,0,0,0.212,0.136,,,0.183,0
Zaragatona,350,0,0,80,70,0,200,18,,,,,,,,0,,,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,
Proteína de soya,335,88.32,3.39,0,0,0,178,14.5,39,776,81,1005,4.03,,,0,0.18,0.1,1.43,,0.1,176,,0,0,0,0,0,0,0.42,0.65,1.65,0,0,0,0,5.327,1.13,1.046,,3.222,
Betabel,43,1.61,0.17,9.56,2.8,6.76,16,0.8,23,40,325,78,0.35,0.075,0.329,4.9,0.031,0.04,0.334,0.155,0.067,109,6,0,2,0.04,0,0,0.2,0.027,0.032,0.06,0,0,0,0,0.058,0.018,0.019,,0.038,20
Nutribalance Premix,,30,1.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levaguard plus,,13,2,,12,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,
XX5plus,,24,2.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avitep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasa amarilla,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite de germen de trigo,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marca el valor máximo de ese nutriente o micronutriente entre todos los insumos. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marca valores seguidos del máximo del nutriente entre todos los insumos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marca el valor máximo de ese nutriente o micronutriente entre todos los insumos que son subproductos alimenticios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
